X,Y,Count,Date,Time,Lat,Long,Speed,Altitude,GSR,normal_GSR,Walk
-2473.18512695416,6684711.90520525,723,2/6/2018,10:24:13,51.544575000000002,-0.022217000000000,2.910000000000000,9.900000000000000,585,0.3888888889,0
-2472.85116848178,6684710.476949,724,2/6/2018,10:24:14,51.544567000000001,-0.022214000000000,1.570000000000000,9.900000000000000,581,0.3148148148,0
-2472.85116848178,6684710.476949,725,2/6/2018,10:24:14,51.544567000000001,-0.022214000000000,1.570000000000000,9.699999999999999,584,0.3703703704,0
-2472.5172100094,6684708.51309708,726,2/6/2018,10:24:15,51.544556000000000,-0.022211000000000,4.040000000000000,9.699999999999999,580,0.2962962963,0
-2472.5172100094,6684708.51309708,727,2/6/2018,10:24:15,51.544556000000000,-0.022211000000000,4.040000000000000,9.699999999999999,583,0.3518518519,0
-2472.29457102781,6684707.08484143,728,2/6/2018,10:24:16,51.544547999999999,-0.022209000000000,4.300000000000000,9.699999999999999,580,0.2962962963,0
-2472.29457102781,6684707.08484143,729,2/6/2018,10:24:16,51.544547999999999,-0.022209000000000,4.300000000000000,9.300000000000001,583,0.3518518519,0
-2471.51533459226,6684705.65658604,730,2/6/2018,10:24:17,51.544539999999998,-0.022202000000000,2.910000000000000,9.300000000000001,579,0.2777777778,0
-2471.51533459226,6684705.65658604,731,2/6/2018,10:24:17,51.544539999999998,-0.022202000000000,2.910000000000000,9.699999999999999,583,0.3518518519,0
-2470.95873713829,6684704.40686278,732,2/6/2018,10:24:18,51.544533000000001,-0.022197000000000,2.700000000000000,9.699999999999999,579,0.2777777778,0
-2470.95873713829,6684704.40686278,733,2/6/2018,10:24:18,51.544533000000001,-0.022197000000000,2.700000000000000,9.400000000000000,583,0.3518518519,0
-2469.84554223036,6684702.26448049,734,2/6/2018,10:24:19,51.544521000000003,-0.022187000000000,4.830000000000000,9.400000000000000,580,0.2962962963,0
-2469.84554223036,6684702.26448049,735,2/6/2018,10:24:19,51.544521000000003,-0.022187000000000,4.830000000000000,9.900000000000000,584,0.3703703704,0
-2469.1776252856,6684700.30063056,736,2/6/2018,10:24:20,51.544510000000002,-0.022181000000000,2.960000000000000,9.900000000000000,579,0.2777777778,0
-2469.06630579481,6684698.87237637,737,2/6/2018,10:24:21,51.544502000000001,-0.022180000000000,2.540000000000000,9.900000000000000,582,0.3333333333,0
-2469.06630579481,6684698.87237637,738,2/6/2018,10:24:21,51.544502000000001,-0.022180000000000,2.540000000000000,9.100000000000000,584,0.3703703704,0
-2468.73234732243,6684698.15824937,739,2/6/2018,10:24:22,51.544497999999997,-0.022177000000000,2.800000000000000,9.100000000000000,580,0.2962962963,0
-2468.73234732243,6684698.15824937,740,2/6/2018,10:24:22,51.544497999999997,-0.022177000000000,2.800000000000000,9.100000000000000,583,0.3518518519,0
-2467.84179139608,6684696.90852726,741,2/6/2018,10:24:23,51.544491000000001,-0.022169000000000,4.280000000000000,9.100000000000000,580,0.2962962963,0
-2467.84179139608,6684696.90852726,742,2/6/2018,10:24:23,51.544491000000001,-0.022169000000000,4.280000000000000,8.699999999999999,583,0.3518518519,0
-2467.28519394212,6684695.48027367,743,2/6/2018,10:24:24,51.544483000000000,-0.022164000000000,2.700000000000000,8.699999999999999,579,0.2777777778,0
-2466.95123546974,6684694.23055198,744,2/6/2018,10:24:25,51.544476000000003,-0.022161000000000,3.130000000000000,8.699999999999999,587,0.4259259259,0
-2466.28331852498,6684692.08817239,745,2/6/2018,10:24:26,51.544463999999998,-0.022155000000000,5.330000000000000,8.699999999999999,587,0.4259259259,0
-2466.28331852498,6684692.08817239,746,2/6/2018,10:24:26,51.544463999999998,-0.022155000000000,5.330000000000000,9.000000000000000,584,0.3703703704,0
-2465.17012361704,6684690.12432494,747,2/6/2018,10:24:27,51.544452999999997,-0.022145000000000,4.720000000000000,9.000000000000000,581,0.3148148148,0
-2464.50220667228,6684688.69607254,748,2/6/2018,10:24:28,51.544445000000003,-0.022139000000000,2.960000000000000,9.000000000000000,584,0.3703703704,0
-2464.50220667228,6684688.69607254,749,2/6/2018,10:24:28,51.544445000000003,-0.022139000000000,2.960000000000000,9.000000000000000,586,0.4074074074,0
-2464.72484565387,6684687.2678204,750,2/6/2018,10:24:29,51.544437000000002,-0.022141000000000,4.570000000000000,9.000000000000000,581,0.3148148148,0
-2464.61352616308,6684686.01809998,751,2/6/2018,10:24:30,51.544429999999998,-0.022140000000000,1.570000000000000,9.000000000000000,583,0.3518518519,0
-2464.61352616308,6684686.01809998,752,2/6/2018,10:24:30,51.544429999999998,-0.022140000000000,1.570000000000000,9.500000000000000,586,0.4074074074,0
-2464.1682481999,6684684.58984831,753,2/6/2018,10:24:31,51.544421999999997,-0.022136000000000,3.070000000000000,9.500000000000000,581,0.3148148148,0
-2463.83428972752,6684683.87572257,754,2/6/2018,10:24:32,51.544418000000000,-0.022133000000000,2.650000000000000,9.500000000000000,584,0.3703703704,0
-2463.83428972752,6684683.87572257,755,2/6/2018,10:24:32,51.544418000000000,-0.022133000000000,2.650000000000000,9.600000000000000,587,0.4259259259,0
-2463.83428972752,6684681.91187711,756,2/6/2018,10:24:33,51.544407000000000,-0.022133000000000,2.800000000000000,9.600000000000000,581,0.3148148148,0
-2462.83241431038,6684680.48362616,757,2/6/2018,10:24:34,51.544398999999999,-0.022124000000000,4.590000000000000,9.600000000000000,584,0.3703703704,0
-2462.83241431038,6684680.48362616,758,2/6/2018,10:24:34,51.544398999999999,-0.022124000000000,4.590000000000000,9.600000000000000,588,0.4444444444,0
-2461.71921940245,6684679.23390679,759,2/6/2018,10:24:35,51.544392000000002,-0.022114000000000,3.000000000000000,9.600000000000000,580,0.2962962963,0
-2461.16262194849,6684678.51978152,760,2/6/2018,10:24:36,51.544387999999998,-0.022109000000000,2.570000000000000,9.600000000000000,583,0.3518518519,0
-2460.9399829669,6684677.09153118,761,2/6/2018,10:24:37,51.544379999999997,-0.022107000000000,2.150000000000000,9.600000000000000,584,0.3703703704,0
-2460.9399829669,6684677.09153118,762,2/6/2018,10:24:37,51.544379999999997,-0.022107000000000,2.150000000000000,9.900000000000000,587,0.4259259259,0
-2460.27206602214,6684675.12768737,763,2/6/2018,10:24:38,51.544369000000003,-0.022101000000000,4.390000000000000,9.900000000000000,580,0.2962962963,0
-2458.82491264183,6684673.69943762,764,2/6/2018,10:24:39,51.544361000000002,-0.022088000000000,5.280000000000000,9.900000000000000,582,0.3333333333,0
-2458.82491264183,6684673.69943762,765,2/6/2018,10:24:39,51.544361000000002,-0.022088000000000,5.280000000000000,10.300000000000001,585,0.3888888889,0
-2458.26831518786,6684672.27118813,766,2/6/2018,10:24:40,51.544353000000001,-0.022083000000000,2.690000000000000,10.300000000000001,579,0.2777777778,0
-2458.15699569707,6684671.73559463,767,2/6/2018,10:24:41,51.544350000000001,-0.022082000000000,1.390000000000000,10.300000000000001,583,0.3518518519,0
-2458.15699569707,6684671.73559463,768,2/6/2018,10:24:41,51.544350000000001,-0.022082000000000,1.390000000000000,10.500000000000000,586,0.4074074074,0
-2458.04567620627,6684669.59322101,769,2/6/2018,10:24:42,51.544338000000003,-0.022081000000000,4.150000000000000,10.500000000000000,580,0.2962962963,0
-2458.15699569707,6684668.34350332,770,2/6/2018,10:24:43,51.544331000000000,-0.022082000000000,3.110000000000000,10.500000000000000,582,0.3333333333,0
-2458.15699569707,6684668.34350332,771,2/6/2018,10:24:43,51.544331000000000,-0.022082000000000,3.110000000000000,9.900000000000000,586,0.4074074074,0
-2457.71171773389,6684666.91525478,772,2/6/2018,10:24:44,51.544322999999999,-0.022078000000000,1.740000000000000,9.900000000000000,580,0.2962962963,0
-2457.93435671548,6684666.91525478,773,2/6/2018,10:24:45,51.544322999999999,-0.022080000000000,0.780000000000000,9.900000000000000,583,0.3518518519,0
-2457.93435671548,6684666.91525478,774,2/6/2018,10:24:45,51.544322999999999,-0.022080000000000,0.780000000000000,9.400000000000000,586,0.4074074074,0
-2457.48907875231,6684664.95141344,775,2/6/2018,10:24:46,51.544311999999998,-0.022076000000000,3.240000000000000,9.400000000000000,582,0.3333333333,0
